NDC Description,NDC,NADAC Per Unit,Effective Date,Pricing Unit,Pharmacy Type Indicator,OTC,Explanation Code,Classification for Rate Setting,Corresponding Generic Drug NADAC Per Unit,Corresponding Generic Drug Effective Date,As of Date
LYRICA 25 MG CAPSULE,71101268,9.69607,11/20/2024,EA,C/I,N,4,B,0.04432,01/22/2025,01/22/2025
LYRICA 300 MG CAPSULE,71101868,9.69306,01/22/2025,EA,C/I,N,1,B,0.07162,01/22/2025,01/22/2025
LYRICA 50 MG CAPSULE,71101341,9.70791,11/20/2024,EA,C/I,N,4,B,0.04929,01/22/2025,01/22/2025
LYRICA 50 MG CAPSULE,71101368,9.70791,11/20/2024,EA,C/I,N,4,B,0.04929,01/22/2025,01/22/2025
LYRICA 75 MG CAPSULE,71101441,9.70257,01/22/2025,EA,C/I,N,1,B,0.05403,01/22/2025,01/22/2025
LYRICA 75 MG CAPSULE,71101468,9.70257,01/22/2025,EA,C/I,N,1,B,0.05403,01/22/2025,01/22/2025
MALARONE 250-100 MG TABLET,173067501,6.6105,04/17/2024,EA,C/I,N,4,B,1.50933,01/22/2025,01/22/2025
MALARONE 250-100 MG TABLET,173067502,6.6105,04/17/2024,EA,C/I,N,4,B,1.50933,01/22/2025,01/22/2025
MAXALT 10 MG TABLET,78206014201,42.45437,01/01/2025,EA,C/I,N,2,B,0.34665,01/22/2025,01/22/2025
MAXALT 10 MG TABLET,78206014299,42.45437,01/01/2025,EA,C/I,N,2,B,0.34665,01/22/2025,01/22/2025
MAXALT MLT 10 MG TABLET,78206014301,42.28959,01/01/2025,EA,C/I,N,2,B,0.46416,01/22/2025,01/22/2025
MAXALT MLT 10 MG TABLET,78206014399,42.28959,01/01/2025,EA,C/I,N,2,B,0.46416,01/22/2025,01/22/2025
MEDROL 4 MG DOSEPAK,9005604,0.26796,01/22/2025,EA,C/I,N,1,B,0.11419,01/22/2025,01/22/2025
MESTINON 180 MG TIMESPAN,187301330,39.25668,01/01/2025,EA,C/I,N,2,B,6.09393,01/22/2025,01/22/2025
MESTINON 60 MG TABLET,187301030,20.74007,01/01/2025,EA,C/I,N,2,B,0.25075,01/22/2025,01/22/2025
METHYLIN 10 MG/5 ML SOLUTION,59630075550,0.2109,01/01/2025,ML,C/I,N,"2, 5",B,0.10822,01/22/2025,01/22/2025
METHYLIN 5 MG/5 ML SOLUTION,59630075050,0.14784,01/01/2025,ML,C/I,N,"2, 5",B,0.07196,01/22/2025,01/22/2025
MICARDIS 20 MG TABLET,597003937,4.47353,09/18/2024,EA,C/I,N,4,B,0.1133,01/22/2025,01/22/2025
MICARDIS 40 MG TABLET,597004037,4.4901,01/22/2025,EA,C/I,N,1,B,0.14845,01/22/2025,01/22/2025
MICARDIS 80 MG TABLET,597004137,4.48167,01/22/2025,EA,C/I,N,1,B,0.14909,01/22/2025,01/22/2025
MICARDIS HCT 40-12.5 MG TABLET,597004337,4.50606,01/22/2025,EA,C/I,N,1,B,0.36504,01/22/2025,01/22/2025
MICARDIS HCT 80-12.5 MG TABLET,597004437,4.47902,01/22/2025,EA,C/I,N,1,B,0.47759,01/22/2025,01/22/2025
MICARDIS HCT 80-25 MG TABLET,597004237,4.50845,01/22/2025,EA,C/I,N,1,B,0.49608,01/22/2025,01/22/2025
MINIVELLE 0.025 MG PATCH,68968662501,27.82264,01/22/2025,EA,C/I,N,1,B,5.9212,01/22/2025,01/22/2025
MINIVELLE 0.025 MG PATCH,68968662508,27.82264,01/22/2025,EA,C/I,N,1,B,5.9212,01/22/2025,01/22/2025
MINIVELLE 0.0375 MG PATCH,68968663701,27.82019,01/22/2025,EA,C/I,N,1,B,6.32083,01/22/2025,01/22/2025
MINIVELLE 0.0375 MG PATCH,68968663708,27.82019,01/22/2025,EA,C/I,N,1,B,6.32083,01/22/2025,01/22/2025
MINIVELLE 0.05 MG PATCH,68968665001,27.78238,01/22/2025,EA,C/I,N,1,B,5.92804,01/22/2025,01/22/2025
MINIVELLE 0.05 MG PATCH,68968665008,27.78238,01/22/2025,EA,C/I,N,1,B,5.92804,01/22/2025,01/22/2025
MINIVELLE 0.075 MG PATCH,68968667501,27.86815,01/22/2025,EA,C/I,N,1,B,6.25824,01/22/2025,01/22/2025
MINIVELLE 0.075 MG PATCH,68968667508,27.86815,01/22/2025,EA,C/I,N,1,B,6.25824,01/22/2025,01/22/2025
MINIVELLE 0.1 MG PATCH,68968661001,27.81189,01/22/2025,EA,C/I,N,1,B,6.19621,01/22/2025,01/22/2025
MINIVELLE 0.1 MG PATCH,68968661008,27.81189,01/22/2025,EA,C/I,N,1,B,6.19621,01/22/2025,01/22/2025
MITIGARE 0.6 MG CAPSULE,59467031801,6.01831,01/22/2025,EA,C/I,N,1,B,2.36116,01/22/2025,01/22/2025
MITIGARE 0.6 MG CAPSULE,59467031810,6.01831,01/22/2025,EA,C/I,N,1,B,2.36116,01/22/2025,01/22/2025
MITIGARE 0.6 MG CAPSULE,59467031830,6.01831,01/22/2025,EA,C/I,N,1,B,2.36116,01/22/2025,01/22/2025
MOVIPREP POWDER PACKET,65649020175,120.3269,01/22/2025,EA,C/I,N,1,B,61.09994,01/22/2025,01/22/2025
MS CONTIN ER 15 MG TABLET,42858051501,4.40368,06/03/2024,EA,C/I,N,4,B,0.23927,01/22/2025,01/22/2025
MS CONTIN ER 30 MG TABLET,42858063101,8.32796,01/22/2025,EA,C/I,N,1,B,0.38047,01/22/2025,01/22/2025
MUCINEX ER 600 MG TABLET,68084057201,0.53021,07/17/2024,EA,C/I,Y,4,B,0.35297,01/22/2025,01/22/2025
MUCINEX ER 600 MG TABLET,68084057211,0.53021,07/17/2024,EA,C/I,Y,4,B,0.35297,01/22/2025,01/22/2025
MYDAYIS ER 12.5 MG CAPSULE,54092046801,10.80356,01/22/2025,EA,C/I,N,1,B,8.16155,01/22/2025,01/22/2025
MYDAYIS ER 25 MG CAPSULE,54092047101,10.80603,01/22/2025,EA,C/I,N,1,B,8.36502,01/22/2025,01/22/2025
MYDAYIS ER 37.5 MG CAPSULE,54092047401,10.83275,01/22/2025,EA,C/I,N,1,B,8.32414,01/22/2025,01/22/2025
MYDAYIS ER 50 MG CAPSULE,54092047701,10.85692,01/22/2025,EA,C/I,N,1,B,8.58684,01/22/2025,01/22/2025
MYFORTIC 180 MG TABLET,78038566,7.19984,01/14/2025,EA,C/I,N,3,B,0.14623,01/22/2025,01/22/2025
MYFORTIC 360 MG TABLET,78038666,14.39939,01/14/2025,EA,C/I,N,3,B,0.27357,01/22/2025,01/22/2025
MYRBETRIQ ER 25 MG TABLET,469260130,14.70729,01/22/2025,EA,C/I,N,1,B,9.69314,01/22/2025,01/22/2025
MYRBETRIQ ER 25 MG TABLET,469260190,14.70729,01/22/2025,EA,C/I,N,1,B,9.69314,01/22/2025,01/22/2025
MYRBETRIQ ER 50 MG TABLET,469260230,14.71141,01/22/2025,EA,C/I,N,1,B,10.43538,01/22/2025,01/22/2025
MYRBETRIQ ER 50 MG TABLET,469260290,14.71141,01/22/2025,EA,C/I,N,1,B,10.43538,01/22/2025,01/22/2025
MYSOLINE 250 MG TABLET,66490069110,65.68856,01/01/2025,EA,C/I,N,2,B,0.22202,01/22/2025,01/22/2025
NAFTIN 2% GEL,54766077260,10.34392,01/22/2025,GM,C/I,N,"1, 5",B,7.12784,01/22/2025,01/22/2025
NAFTIN 2% GEL,54766077245,10.36293,01/22/2025,GM,C/I,N,"1, 5",B,7.75109,01/22/2025,01/22/2025
NAMENDA XR 28 MG CAPSULE,456342833,14.877,11/20/2024,EA,C/I,N,4,B,0.53164,01/22/2025,01/22/2025
NARCAN 4 MG NASAL SPRAY,69547062702,20.52362,01/22/2025,EA,C/I,Y,"1, 5",B,27.53385,01/22/2025,01/22/2025
NARCAN 4 MG NASAL SPRAY,69547035302,59.57786,11/20/2024,EA,C/I,N,"4, 5",B,34.27,01/22/2025,01/22/2025
NARDIL 15 MG TABLET,71035060,2.46727,01/01/2025,EA,C/I,N,2,B,0.53842,01/22/2025,01/22/2025
NASCOBAL 500 MCG NASAL SPRAY,49884027082,170.73463,01/22/2025,EA,C/I,N,"1, 5",B,107.60842,01/22/2025,01/22/2025
NEORAL 100 MG GELATIN CAPSULE,78024815,11.32397,01/14/2025,EA,C/I,N,3,B,1.41627,01/22/2025,01/22/2025
NEORAL 100 MG GELATIN CAPSULE,78024861,11.32397,01/14/2025,EA,C/I,N,3,B,1.41627,01/22/2025,01/22/2025
NEORAL 25 MG GELATIN CAPSULE,78024615,2.82841,01/14/2025,EA,C/I,N,3,B,0.44054,01/22/2025,01/22/2025
NEORAL 25 MG GELATIN CAPSULE,78024661,2.82841,01/14/2025,EA,C/I,N,3,B,0.44054,01/22/2025,01/22/2025
NESINA 12.5 MG TABLET,64764012530,13.13774,11/20/2024,EA,C/I,N,4,B,5.01649,01/22/2025,01/22/2025
NESINA 25 MG TABLET,64764025030,13.10806,01/22/2025,EA,C/I,N,1,B,4.76575,01/22/2025,01/22/2025
NEURONTIN 100 MG CAPSULE,71080324,2.83304,01/07/2025,EA,C/I,N,2,B,0.02079,01/22/2025,01/22/2025
NEURONTIN 300 MG CAPSULE,71080524,7.05888,01/07/2025,EA,C/I,N,2,B,0.03533,01/22/2025,01/22/2025
NEURONTIN 400 MG CAPSULE,71080624,8.43992,01/07/2025,EA,C/I,N,2,B,0.04393,01/22/2025,01/22/2025
NEURONTIN 600 MG TABLET,71051324,13.44653,01/07/2025,EA,C/I,N,2,B,0.06691,01/22/2025,01/22/2025
NEURONTIN 800 MG TABLET,71040124,16.11274,01/07/2025,EA,C/I,N,2,B,0.09225,01/22/2025,01/22/2025
NEXIUM DR 10 MG PACKET,186401001,9.18831,01/22/2025,EA,C/I,N,"1, 5",B,6.61879,01/22/2025,01/22/2025
NEXIUM DR 20 MG CAPSULE,186502031,8.81884,01/22/2025,EA,C/I,N,1,B,0.1479,01/22/2025,01/22/2025
NEXIUM DR 20 MG CAPSULE,186502054,8.81884,01/22/2025,EA,C/I,N,1,B,0.1479,01/22/2025,01/22/2025
NEXIUM DR 20 MG PACKET,186402001,9.1787,01/22/2025,EA,C/I,N,"1, 5",B,5.68424,01/22/2025,01/22/2025
NEXIUM DR 40 MG CAPSULE,186504031,8.81021,01/22/2025,EA,C/I,N,1,B,0.12959,01/22/2025,01/22/2025
NEXIUM DR 40 MG CAPSULE,186504054,8.81021,01/22/2025,EA,C/I,N,1,B,0.12959,01/22/2025,01/22/2025
NEXIUM DR 40 MG PACKET,186404001,9.17327,01/22/2025,EA,C/I,N,"1, 5",B,5.43087,01/22/2025,01/22/2025
NITROSTAT 0.4 MG TABLET SL,71041813,1.55055,01/22/2025,EA,C/I,N,"1, 5",B,0.18133,01/22/2025,01/22/2025
NITROSTAT 0.4 MG TABLET SL,58151031052,1.55055,01/22/2025,EA,C/I,N,"1, 5",B,0.18133,01/22/2025,01/22/2025
NITROSTAT 0.4 MG TABLET SL,58151031094,1.55055,01/22/2025,EA,C/I,N,"1, 5",B,0.18133,01/22/2025,01/22/2025
NORVASC 10 MG TABLET,69154041,11.33934,01/07/2025,EA,C/I,N,2,B,0.01568,01/22/2025,01/22/2025
NORVASC 10 MG TABLET,69154068,11.33934,01/07/2025,EA,C/I,N,2,B,0.01568,01/22/2025,01/22/2025
NORVASC 10 MG TABLET,58151035532,11.33934,01/07/2025,EA,C/I,N,2,B,0.01568,01/22/2025,01/22/2025
NORVASC 10 MG TABLET,58151035577,11.33934,01/07/2025,EA,C/I,N,2,B,0.01568,01/22/2025,01/22/2025
NORVASC 10 MG TABLET,58151035588,11.33934,01/07/2025,EA,C/I,N,2,B,0.01568,01/22/2025,01/22/2025
NORVASC 2.5 MG TABLET,69152068,8.23705,01/07/2025,EA,C/I,N,4,B,0.01003,01/22/2025,01/22/2025
NORVASC 2.5 MG TABLET,58151035377,8.23705,01/07/2025,EA,C/I,N,4,B,0.01003,01/22/2025,01/22/2025
NORVASC 5 MG TABLET,69153041,8.28203,01/07/2025,EA,C/I,N,4,B,0.01037,01/22/2025,01/22/2025
NORVASC 5 MG TABLET,69153068,8.28203,01/07/2025,EA,C/I,N,4,B,0.01037,01/22/2025,01/22/2025
NORVASC 5 MG TABLET,69153072,8.28203,01/07/2025,EA,C/I,N,4,B,0.01037,01/22/2025,01/22/2025
NORVASC 5 MG TABLET,58151035432,8.28203,01/07/2025,EA,C/I,N,4,B,0.01037,01/22/2025,01/22/2025
NORVASC 5 MG TABLET,58151035488,8.28203,01/07/2025,EA,C/I,N,4,B,0.01037,01/22/2025,01/22/2025
NORVIR 100 MG TABLET,74234030,8.33681,01/22/2025,EA,C/I,N,1,B,0.85949,01/22/2025,01/22/2025
NUVARING VAGINAL RING,78206014601,156.1085,01/22/2025,EA,C/I,N,1,B,48.8391,01/22/2025,01/22/2025
NUVARING VAGINAL RING,78206014603,156.1085,01/22/2025,EA,C/I,N,1,B,48.8391,01/22/2025,01/22/2025
NUVIGIL 150 MG TABLET,63459021530,35.12228,01/22/2025,EA,C/I,N,1,B,0.61655,01/22/2025,01/22/2025
NUVIGIL 200 MG TABLET,63459022030,34.78747,01/22/2025,EA,C/I,N,1,B,0.62079,01/22/2025,01/22/2025
NUVIGIL 250 MG TABLET,63459022530,34.88206,01/22/2025,EA,C/I,N,1,B,0.71228,01/22/2025,01/22/2025
ONEXTON GEL PUMP,187305050,13.87206,01/22/2025,GM,C/I,N,"1, 5",B,5.02814,01/22/2025,01/22/2025
ONFI 10 MG TABLET,67386031401,30.00725,01/02/2025,EA,C/I,N,2,B,0.23405,01/22/2025,01/22/2025
ONFI 2.5 MG/ML SUSPENSION,67386031321,12.50751,01/22/2025,ML,C/I,N,"1, 5",B,0.22444,01/22/2025,01/22/2025
ONFI 20 MG TABLET,67386031501,60.16824,01/02/2025,EA,C/I,N,2,B,0.47347,01/22/2025,01/22/2025
ONGLYZA 5 MG TABLET,310610530,15.51491,10/23/2024,EA,C/I,N,4,B,5.36912,01/22/2025,01/22/2025
ONGLYZA 5 MG TABLET,310610590,15.51491,10/23/2024,EA,C/I,N,4,B,5.36912,01/22/2025,01/22/2025
OXTELLAR XR 150 MG TABLET,17772012101,8.65415,01/22/2025,EA,C/I,N,1,B,6.27926,01/22/2025,01/22/2025
OXTELLAR XR 300 MG TABLET,17772012201,12.04008,01/22/2025,EA,C/I,N,1,B,8.97542,01/22/2025,01/22/2025
OXTELLAR XR 600 MG TABLET,17772012301,21.94484,01/22/2025,EA,C/I,N,1,B,17.1085,01/22/2025,01/22/2025
OXYCONTIN ER 20 MG TABLET,59011042010,10.12818,01/01/2025,EA,C/I,N,2,B,7.48302,04/17/2024,01/22/2025
OXYCONTIN ER 20 MG TABLET,59011042020,10.12818,01/01/2025,EA,C/I,N,2,B,7.48302,04/17/2024,01/22/2025
OXYCONTIN ER 40 MG TABLET,59011044010,17.3553,01/01/2025,EA,C/I,N,2,B,12.8154,04/17/2024,01/22/2025
OXYCONTIN ER 40 MG TABLET,59011044020,17.3553,01/01/2025,EA,C/I,N,2,B,12.8154,04/17/2024,01/22/2025
PACERONE 100 MG TABLET,245014401,0.99993,11/20/2024,EA,C/I,N,"4, 6",B-ANDA,0.598,01/22/2025,01/22/2025
PACERONE 100 MG TABLET,245014430,0.99993,11/20/2024,EA,C/I,N,"4, 6",B-ANDA,0.598,01/22/2025,01/22/2025
PACERONE 100 MG TABLET,245014489,0.99993,11/20/2024,EA,C/I,N,"4, 6",B-ANDA,0.598,01/22/2025,01/22/2025
PACERONE 400 MG TABLET,245164501,1.05908,11/20/2024,EA,C/I,N,"4, 6",B-ANDA,0.5195,01/22/2025,01/22/2025
PACERONE 400 MG TABLET,245164530,1.05908,11/20/2024,EA,C/I,N,"4, 6",B-ANDA,0.5195,01/22/2025,01/22/2025
PACERONE 400 MG TABLET,245164589,1.05908,11/20/2024,EA,C/I,N,"4, 6",B-ANDA,0.5195,01/22/2025,01/22/2025
PATADAY ONCE DAILY 0.2% DROPS,65815001,5.93758,01/22/2025,ML,C/I,Y,"1, 5",B,3.68616,01/22/2025,01/22/2025
PATADAY TWICE DAILY 0.1% DROPS,65427401,2.4812,01/22/2025,ML,C/I,Y,"1, 5",B,1.21749,01/22/2025,01/22/2025
PAXIL 10 MG TABLET,60505451703,9.38405,09/09/2024,EA,C/I,N,4,B,0.06244,01/22/2025,01/22/2025
PAXIL 20 MG TABLET,60505451803,9.86096,09/09/2024,EA,C/I,N,4,B,0.06719,01/22/2025,01/22/2025
PAXIL 30 MG TABLET,60505451903,10.11846,09/09/2024,EA,C/I,N,4,B,0.08737,01/22/2025,01/22/2025
PAXIL 40 MG TABLET,60505452003,10.64281,09/09/2024,EA,C/I,N,4,B,0.11214,01/22/2025,01/22/2025
PAXIL CR 12.5 MG TABLET,60505437703,9.65582,09/09/2024,EA,C/I,N,4,B,0.5042,01/22/2025,01/22/2025
PAXIL CR 25 MG TABLET,60505437803,10.13228,09/09/2024,EA,C/I,N,4,B,0.42295,01/22/2025,01/22/2025
PAXIL CR 37.5 MG TABLET,60505437903,10.42443,09/09/2024,EA,C/I,N,4,B,0.44141,01/22/2025,01/22/2025
PENNSAID 2% PUMP,75987004005,21.42209,11/20/2024,GM,C/I,N,"4, 5",B,0.97607,01/22/2025,01/22/2025
PENTASA 500 MG CAPSULE,54092019112,5.82679,01/22/2025,EA,C/I,N,1,B,3.63689,01/22/2025,01/22/2025
PERCOCET 10-325 MG TABLET,63481062970,39.67937,01/01/2025,EA,C/I,N,"2, 6",B-ANDA,0.22183,01/22/2025,01/22/2025
PERCOCET 5-325 MG TABLET,63481062370,28.03797,01/01/2025,EA,C/I,N,"2, 6",B-ANDA,0.12752,01/22/2025,01/22/2025
PERCOCET 5-325 MG TABLET,63481062385,28.03797,01/01/2025,EA,C/I,N,"2, 6",B-ANDA,0.12752,01/22/2025,01/22/2025
PERCOCET 7.5-325 MG TABLET,63481062870,30.29315,01/01/2025,EA,C/I,N,"2, 6",B-ANDA,0.20534,01/22/2025,01/22/2025
PERFOROMIST 20 MCG/2 ML SOLN,49502060530,9.75591,01/07/2025,ML,C/I,N,"2, 5",B,3.35705,01/22/2025,01/22/2025
PERFOROMIST 20 MCG/2 ML SOLN,49502060561,9.79484,01/07/2025,ML,C/I,N,"4, 5",B,3.406,01/22/2025,01/22/2025
PLAVIX 75 MG TABLET,24117190,8.05504,01/03/2025,EA,C/I,N,2,B,0.05723,01/22/2025,01/22/2025
PRADAXA 110 MG CAPSULE,597010854,3.16103,01/22/2025,EA,C/I,N,1,B,1.84238,01/22/2025,01/22/2025
PRADAXA 110 MG CAPSULE,597010860,3.16103,01/22/2025,EA,C/I,N,1,B,1.84238,01/22/2025,01/22/2025
PRADAXA 150 MG CAPSULE,597036055,3.17136,01/22/2025,EA,C/I,N,1,B,1.90362,01/22/2025,01/22/2025
PRADAXA 150 MG CAPSULE,597036082,3.17136,01/22/2025,EA,C/I,N,1,B,1.90362,01/22/2025,01/22/2025
PRADAXA 75 MG CAPSULE,597035509,3.17053,01/22/2025,EA,C/I,N,1,B,1.93544,01/22/2025,01/22/2025
PRADAXA 75 MG CAPSULE,597035556,3.17053,01/22/2025,EA,C/I,N,1,B,1.93544,01/22/2025,01/22/2025
PRED FORTE 1% EYE DROPS,11980018010,30.5873,01/22/2025,ML,C/I,N,"1, 5",B,4.58817,01/22/2025,01/22/2025
PRED FORTE 1% EYE DROPS,11980018005,30.68886,01/22/2025,ML,C/I,N,"1, 5",B,4.80516,01/22/2025,01/22/2025
PRED FORTE 1% EYE DROPS,11980018015,30.89947,12/18/2024,ML,C/I,N,"4, 5",B,4.37944,01/22/2025,01/22/2025
PREVACID 24HR DR 15 MG CAPSULE,113600203,0.55397,01/22/2025,EA,C/I,Y,1,B,0.46858,01/22/2025,01/22/2025
PREVACID DR 15 MG SOLUTAB,64764054311,13.23172,01/22/2025,EA,C/I,N,1,B,1.88193,01/22/2025,01/22/2025
PREVACID DR 15 MG SOLUTAB,64764054330,13.23172,01/22/2025,EA,C/I,N,1,B,1.88193,01/22/2025,01/22/2025
PREVACID DR 30 MG CAPSULE,64764004613,13.28608,01/22/2025,EA,C/I,N,1,B,0.0892,01/22/2025,01/22/2025
PREVACID DR 30 MG SOLUTAB,64764054411,13.23917,01/22/2025,EA,C/I,N,1,B,2.37732,01/22/2025,01/22/2025
PREVACID DR 30 MG SOLUTAB,64764054430,13.23917,01/22/2025,EA,C/I,N,1,B,2.37732,01/22/2025,01/22/2025
PREZISTA 600 MG TABLET,59676056201,34.90572,01/22/2025,EA,C/I,N,1,B,1.50576,01/22/2025,01/22/2025
PREZISTA 800 MG TABLET,59676056630,69.84753,01/22/2025,EA,C/I,N,1,B,2.66161,01/22/2025,01/22/2025
PRISTIQ ER 100 MG TABLET,8122201,13.97569,01/22/2025,EA,C/I,N,1,B,0.42073,01/22/2025,01/22/2025
PRISTIQ ER 100 MG TABLET,8122214,13.97569,01/22/2025,EA,C/I,N,1,B,0.42073,01/22/2025,01/22/2025
PRISTIQ ER 100 MG TABLET,8122230,13.97569,01/22/2025,EA,C/I,N,1,B,0.42073,01/22/2025,01/22/2025
PRISTIQ ER 25 MG TABLET,8121030,13.95865,01/22/2025,EA,C/I,N,1,B,0.43119,01/22/2025,01/22/2025
PRISTIQ ER 50 MG TABLET,8121101,13.95055,01/22/2025,EA,C/I,N,1,B,0.40692,01/22/2025,01/22/2025
PRISTIQ ER 50 MG TABLET,8121114,13.95055,01/22/2025,EA,C/I,N,1,B,0.40692,01/22/2025,01/22/2025
PRISTIQ ER 50 MG TABLET,8121130,13.95055,01/22/2025,EA,C/I,N,1,B,0.40692,01/22/2025,01/22/2025
PROCENTRA 5 MG/5 ML SOLUTION,21724070105,1.62737,01/22/2025,ML,C/I,N,"1, 5, 6",B-ANDA,1.01645,01/22/2025,01/22/2025
PROCTOSOL-HC 2.5% CREAM,10631040701,0.88357,01/22/2025,GM,C/I,N,"1, 5, 6",B-ANDA,0.23153,01/22/2025,01/22/2025
PROGLYCEM 50 MG/ML ORAL SUSP,575620030,15.43002,01/01/2025,ML,C/I,N,"2, 5",B,7.0457,01/22/2025,01/22/2025
PROGRAF 0.5 MG CAPSULE,469060773,3.56112,01/13/2025,EA,C/I,N,3,B,0.13121,01/22/2025,01/22/2025
PROGRAF 1 MG CAPSULE,469061773,7.12621,01/13/2025,EA,C/I,N,3,B,0.1747,01/22/2025,01/22/2025
PROGRAF 5 MG CAPSULE,469065773,35.63406,01/22/2025,EA,C/I,N,1,B,0.75861,01/22/2025,01/22/2025
PROLENSA 0.07% EYE DROPS,24208060203,115.90056,01/01/2025,ML,C/I,N,"2, 5",B,15.42001,01/22/2025,01/22/2025
PROMETRIUM 100 MG CAPSULE,72989037230,16.01492,01/22/2025,EA,C/I,N,1,B,0.2168,01/22/2025,01/22/2025
PROMETRIUM 200 MG CAPSULE,72989037330,30.48993,01/22/2025,EA,C/I,N,1,B,0.35713,01/22/2025,01/22/2025
PROPECIA 1 MG TABLET,78206015202,3.40803,01/01/2025,EA,C/I,N,"2, 5",B,0.03998,01/22/2025,01/22/2025
PROPECIA 1 MG TABLET,78206015201,3.79272,01/01/2025,EA,C/I,N,"2, 5",B,0.03998,01/22/2025,01/22/2025
PROSCAR 5 MG TABLET,78206015301,5.45052,01/01/2025,EA,C/I,N,2,B,0.06521,01/22/2025,01/22/2025
PROSCAR 5 MG TABLET,78206015302,5.45052,01/01/2025,EA,C/I,N,2,B,0.06521,01/22/2025,01/22/2025
PROTONIX 40 MG SUSPENSION,8084401,13.75389,01/22/2025,EA,C/I,N,1,B,7.38727,01/22/2025,01/22/2025
PROTONIX 40 MG SUSPENSION,8084402,13.75389,01/22/2025,EA,C/I,N,1,B,7.38727,01/22/2025,01/22/2025
PROTONIX DR 20 MG TABLET,8084381,13.88929,01/22/2025,EA,C/I,N,1,B,0.04207,01/22/2025,01/22/2025
PROTONIX DR 40 MG TABLET,8084181,13.91223,01/22/2025,EA,C/I,N,1,B,0.03549,01/22/2025,01/22/2025
PROVIGIL 100 MG TABLET,63459010130,53.63395,01/01/2025,EA,C/I,N,2,B,0.24017,01/22/2025,01/22/2025
PROVIGIL 200 MG TABLET,63459020130,80.68941,01/01/2025,EA,C/I,N,2,B,0.33089,01/22/2025,01/22/2025
PROZAC 10 MG PULVULE,777310402,13.65669,01/22/2025,EA,C/I,N,1,B,0.03084,01/22/2025,01/22/2025
PROZAC 20 MG PULVULE,777310502,14.00828,01/22/2025,EA,C/I,N,1,B,0.02978,01/22/2025,01/22/2025
PROZAC 20 MG PULVULE,777310530,14.00828,01/22/2025,EA,C/I,N,1,B,0.02978,01/22/2025,01/22/2025
PROZAC 40 MG PULVULE,777310730,24.308,01/22/2025,EA,C/I,N,1,B,0.05872,01/22/2025,01/22/2025
PULMICORT 0.25 MG/2 ML RESPUL,186198804,4.18882,01/22/2025,ML,C/I,N,"1, 5",B,0.87118,01/22/2025,01/22/2025
PULMICORT 0.5 MG/2 ML RESPULE,186198904,4.92257,01/22/2025,ML,C/I,N,"1, 5",B,0.82371,01/22/2025,01/22/2025
PULMICORT 1 MG/2 ML RESPULE,186199004,9.83965,01/22/2025,ML,C/I,N,"1, 5",B,3.7484,01/22/2025,01/22/2025
PYLERA CAPSULE,58914060120,2.42948,01/22/2025,EA,C/I,N,1,B,3.65654,01/22/2025,01/22/2025
PYLERA CAPSULE,61269038012,2.42948,01/22/2025,EA,C/I,N,1,B,3.65654,01/22/2025,01/22/2025
QUDEXY XR 100 MG CAPSULE,245107430,24.17445,01/22/2025,EA,C/I,N,1,B,8.67531,01/22/2025,01/22/2025
QUDEXY XR 150 MG CAPSULE,245107530,29.58846,01/22/2025,EA,C/I,N,1,B,10.50896,01/22/2025,01/22/2025
QUDEXY XR 200 MG CAPSULE,245107330,32.84605,01/22/2025,EA,C/I,N,1,B,12.74499,01/22/2025,01/22/2025
RAPAFLO 4 MG CAPSULE,23614730,8.44587,01/22/2025,EA,C/I,N,1,B,0.39083,01/22/2025,01/22/2025
RAPAFLO 8 MG CAPSULE,23614230,8.39052,01/22/2025,EA,C/I,N,1,B,0.46153,01/22/2025,01/22/2025
RAPAMUNE 1 MG/ML ORAL SOLN,8103004,31.75346,07/17/2024,ML,C/I,N,"4, 5",B,6.18596,01/22/2025,01/22/2025
RAPAMUNE 1 MG/ML ORAL SOLN,8103006,31.75346,07/17/2024,ML,C/I,N,"4, 5",B,6.18596,01/22/2025,01/22/2025
RECTIV 0.4% OINTMENT,58914030180,20.49006,01/22/2025,GM,C/I,N,"1, 5",B,13.78442,01/22/2025,01/22/2025
REFRESH P.M. OINTMENT,23024004,2.45136,06/19/2024,GM,C/I,Y,"4, 5, 6",B,1.67475,01/22/2025,01/22/2025
REFRESH P.M. OINTMENT,23066704,2.45136,11/20/2024,GM,C/I,Y,"4, 5, 6",B,1.67475,01/22/2025,01/22/2025
REFRESH PLUS 0.5% EYE DROPS,23040370,0.25949,09/18/2024,EA,C/I,Y,"4, 5, 6",B,0.14154,01/22/2025,01/22/2025
REFRESH PLUS 0.5% EYE DROPS,23040330,0.29649,09/18/2024,EA,C/I,Y,"4, 5, 6",B,0.1888,01/22/2025,01/22/2025
REFRESH TEARS 0.5% EYE DROP,23079801,0.41188,12/18/2024,ML,C/I,Y,"4, 5, 6",B,0.32986,01/22/2025,01/22/2025
REFRESH TEARS 0.5% EYE DROP,23079815,0.54847,09/18/2024,ML,C/I,Y,"4, 5, 6",B,0.51015,01/22/2025,01/22/2025
RELPAX 20 MG TABLET,49233045,77.57364,01/22/2025,EA,C/I,N,1,B,1.98625,01/22/2025,01/22/2025
RELPAX 20 MG TABLET,49233079,77.57364,01/22/2025,EA,C/I,N,1,B,1.98625,01/22/2025,01/22/2025
